StationName,StationID,Month,Day,MaxTemp,MinTemp,AveTemp,MaxTempSD,MinTempSD,AveTempSD,ICAO
USW00026451,ANCHORAGE INTL AP,1,1,23.8,11.7,17.8,11.1,12.5,11.5,PANC
USW00026451,ANCHORAGE INTL AP,1,2,23.7,11.6,17.7,11.2,12.6,11.6,PANC
USW00026451,ANCHORAGE INTL AP,1,3,23.6,11.5,17.6,11.2,12.7,11.7,PANC
USW00026451,ANCHORAGE INTL AP,1,4,23.5,11.4,17.5,11.3,12.8,11.8,PANC
USW00026451,ANCHORAGE INTL AP,1,5,23.4,11.3,17.4,11.4,12.9,11.9,PANC
USW00026451,ANCHORAGE INTL AP,1,6,23.4,11.2,17.3,11.5,13,12,PANC
USW00026451,ANCHORAGE INTL AP,1,7,23.3,11.1,17.2,11.5,13.1,12,PANC
USW00026451,ANCHORAGE INTL AP,1,8,23.2,11.1,17.1,11.6,13.2,12.1,PANC
USW00026451,ANCHORAGE INTL AP,1,9,23.1,11,17,11.7,13.2,12.2,PANC
USW00026451,ANCHORAGE INTL AP,1,10,23,10.9,17,11.7,13.3,12.3,PANC
USW00026451,ANCHORAGE INTL AP,1,11,23,10.9,16.9,11.8,13.4,12.4,PANC
USW00026451,ANCHORAGE INTL AP,1,12,22.9,10.8,16.9,11.9,13.5,12.4,PANC
USW00026451,ANCHORAGE INTL AP,1,13,22.9,10.8,16.8,11.9,13.6,12.5,PANC
USW00026451,ANCHORAGE INTL AP,1,14,22.8,10.8,16.8,12,13.6,12.6,PANC
USW00026451,ANCHORAGE INTL AP,1,15,22.8,10.8,16.8,12.1,13.7,12.6,PANC
USW00026451,ANCHORAGE INTL AP,1,16,22.7,10.7,16.7,12.1,13.8,12.7,PANC
USW00026451,ANCHORAGE INTL AP,1,17,22.7,10.7,16.7,12.2,13.8,12.7,PANC
USW00026451,ANCHORAGE INTL AP,1,18,22.7,10.8,16.7,12.2,13.8,12.8,PANC
USW00026451,ANCHORAGE INTL AP,1,19,22.7,10.8,16.7,12.2,13.9,12.8,PANC
USW00026451,ANCHORAGE INTL AP,1,20,22.7,10.8,16.8,12.3,13.9,12.8,PANC
USW00026451,ANCHORAGE INTL AP,1,21,22.8,10.8,16.8,12.3,14,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,22,22.8,10.9,16.8,12.3,14,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,23,22.8,11,16.9,12.3,14,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,24,22.9,11,17,12.3,14.1,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,25,23,11.1,17,12.3,14.1,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,26,23,11.2,17.1,12.2,14.1,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,27,23.1,11.3,17.2,12.2,14.1,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,28,23.2,11.4,17.3,12.1,14.1,12.9,PANC
USW00026451,ANCHORAGE INTL AP,1,29,23.3,11.5,17.4,12.1,14,12.8,PANC
USW00026451,ANCHORAGE INTL AP,1,30,23.5,11.6,17.5,12,14,12.8,PANC
USW00026451,ANCHORAGE INTL AP,1,31,23.6,11.7,17.7,11.9,13.9,12.7,PANC
USW00026451,ANCHORAGE INTL AP,2,1,23.8,11.8,17.8,11.8,13.9,12.6,PANC
USW00026451,ANCHORAGE INTL AP,2,2,23.9,12,17.9,11.8,13.9,12.6,PANC
USW00026451,ANCHORAGE INTL AP,2,3,24.1,12.1,18.1,11.7,13.8,12.5,PANC
USW00026451,ANCHORAGE INTL AP,2,4,24.3,12.2,18.2,11.6,13.8,12.4,PANC
USW00026451,ANCHORAGE INTL AP,2,5,24.4,12.4,18.4,11.5,13.7,12.4,PANC
USW00026451,ANCHORAGE INTL AP,2,6,24.6,12.5,18.6,11.4,13.6,12.3,PANC
USW00026451,ANCHORAGE INTL AP,2,7,24.8,12.7,18.7,11.3,13.5,12.2,PANC
USW00026451,ANCHORAGE INTL AP,2,8,25,12.8,18.9,11.2,13.5,12.1,PANC
USW00026451,ANCHORAGE INTL AP,2,9,25.2,13,19.1,11.1,13.4,12,PANC
USW00026451,ANCHORAGE INTL AP,2,10,25.5,13.1,19.3,11,13.3,11.9,PANC
USW00026451,ANCHORAGE INTL AP,2,11,25.7,13.3,19.5,10.8,13.2,11.8,PANC
USW00026451,ANCHORAGE INTL AP,2,12,25.9,13.4,19.7,10.7,13.1,11.7,PANC
USW00026451,ANCHORAGE INTL AP,2,13,26.1,13.6,19.9,10.6,13,11.6,PANC
USW00026451,ANCHORAGE INTL AP,2,14,26.4,13.7,20,10.4,12.9,11.4,PANC
USW00026451,ANCHORAGE INTL AP,2,15,26.6,13.9,20.2,10.3,12.8,11.3,PANC
USW00026451,ANCHORAGE INTL AP,2,16,26.9,14,20.4,10.1,12.7,11.2,PANC
USW00026451,ANCHORAGE INTL AP,2,17,27.1,14.2,20.6,10,12.5,11,PANC
USW00026451,ANCHORAGE INTL AP,2,18,27.4,14.3,20.8,9.8,12.4,10.9,PANC
USW00026451,ANCHORAGE INTL AP,2,19,27.6,14.5,21,9.7,12.3,10.7,PANC
USW00026451,ANCHORAGE INTL AP,2,20,27.8,14.6,21.2,9.6,12.2,10.6,PANC
USW00026451,ANCHORAGE INTL AP,2,21,28.1,14.8,21.4,9.4,12.1,10.5,PANC
USW00026451,ANCHORAGE INTL AP,2,22,28.3,14.9,21.6,9.3,12,10.4,PANC
USW00026451,ANCHORAGE INTL AP,2,23,28.6,15.1,21.8,9.2,11.8,10.2,PANC
USW00026451,ANCHORAGE INTL AP,2,24,28.8,15.2,22,9.1,11.7,10.1,PANC
USW00026451,ANCHORAGE INTL AP,2,25,29.1,15.4,22.2,9,11.6,10,PANC
USW00026451,ANCHORAGE INTL AP,2,26,29.3,15.5,22.4,8.9,11.5,9.9,PANC
USW00026451,ANCHORAGE INTL AP,2,27,29.6,15.7,22.6,8.9,11.4,9.8,PANC
USW00026451,ANCHORAGE INTL AP,2,28,29.8,15.9,22.8,8.8,11.3,9.8,PANC
USW00026451,ANCHORAGE INTL AP,2,29,29.8,15.9,22.8,8.8,11.3,9.8,PANC
USW00026451,ANCHORAGE INTL AP,3,1,30.1,16,23,8.7,11.2,9.7,PANC
USW00026451,ANCHORAGE INTL AP,3,2,30.3,16.2,23.2,8.6,11.1,9.6,PANC
USW00026451,ANCHORAGE INTL AP,3,3,30.5,16.3,23.4,8.6,11,9.5,PANC
USW00026451,ANCHORAGE INTL AP,3,4,30.8,16.5,23.6,8.5,10.9,9.4,PANC
USW00026451,ANCHORAGE INTL AP,3,5,31,16.7,23.9,8.4,10.8,9.3,PANC
USW00026451,ANCHORAGE INTL AP,3,6,31.3,16.9,24.1,8.3,10.7,9.2,PANC
USW00026451,ANCHORAGE INTL AP,3,7,31.5,17,24.3,8.2,10.6,9.1,PANC
USW00026451,ANCHORAGE INTL AP,3,8,31.8,17.2,24.5,8.1,10.4,8.9,PANC
USW00026451,ANCHORAGE INTL AP,3,9,32,17.4,24.7,8,10.3,8.8,PANC
USW00026451,ANCHORAGE INTL AP,3,10,32.2,17.6,24.9,8,10.1,8.7,PANC
USW00026451,ANCHORAGE INTL AP,3,11,32.5,17.8,25.1,7.9,10,8.6,PANC
USW00026451,ANCHORAGE INTL AP,3,12,32.7,18,25.4,7.8,9.9,8.5,PANC
USW00026451,ANCHORAGE INTL AP,3,13,33,18.2,25.6,7.7,9.8,8.4,PANC
USW00026451,ANCHORAGE INTL AP,3,14,33.2,18.5,25.8,7.6,9.6,8.3,PANC
USW00026451,ANCHORAGE INTL AP,3,15,33.5,18.7,26.1,7.5,9.5,8.1,PANC
USW00026451,ANCHORAGE INTL AP,3,16,33.7,18.9,26.3,7.5,9.4,8,PANC
USW00026451,ANCHORAGE INTL AP,3,17,34,19.2,26.6,7.4,9.3,8,PANC
USW00026451,ANCHORAGE INTL AP,3,18,34.3,19.4,26.8,7.3,9.1,7.9,PANC
USW00026451,ANCHORAGE INTL AP,3,19,34.5,19.7,27.1,7.3,9,7.8,PANC
USW00026451,ANCHORAGE INTL AP,3,20,34.8,19.9,27.4,7.2,8.9,7.7,PANC
USW00026451,ANCHORAGE INTL AP,3,21,35.1,20.2,27.7,7.2,8.8,7.6,PANC
USW00026451,ANCHORAGE INTL AP,3,22,35.4,20.5,27.9,7.1,8.7,7.5,PANC
USW00026451,ANCHORAGE INTL AP,3,23,35.7,20.8,28.2,7.1,8.5,7.4,PANC
USW00026451,ANCHORAGE INTL AP,3,24,36,21.1,28.5,7,8.4,7.3,PANC
USW00026451,ANCHORAGE INTL AP,3,25,36.3,21.4,28.8,7,8.3,7.2,PANC
USW00026451,ANCHORAGE INTL AP,3,26,36.6,21.7,29.2,6.9,8.1,7.1,PANC
USW00026451,ANCHORAGE INTL AP,3,27,36.9,22,29.5,6.8,8,7,PANC
USW00026451,ANCHORAGE INTL AP,3,28,37.3,22.3,29.8,6.8,7.9,6.9,PANC
USW00026451,ANCHORAGE INTL AP,3,29,37.6,22.7,30.1,6.7,7.7,6.8,PANC
USW00026451,ANCHORAGE INTL AP,3,30,37.9,23,30.5,6.6,7.6,6.7,PANC
USW00026451,ANCHORAGE INTL AP,3,31,38.3,23.3,30.8,6.6,7.4,6.6,PANC
USW00026451,ANCHORAGE INTL AP,4,1,38.6,23.7,31.2,6.5,7.3,6.5,PANC
USW00026451,ANCHORAGE INTL AP,4,2,39,24.1,31.5,6.4,7.2,6.4,PANC
USW00026451,ANCHORAGE INTL AP,4,3,39.4,24.4,31.9,6.4,7,6.3,PANC
USW00026451,ANCHORAGE INTL AP,4,4,39.7,24.8,32.3,6.3,6.9,6.2,PANC
USW00026451,ANCHORAGE INTL AP,4,5,40.1,25.1,32.6,6.3,6.8,6.1,PANC
USW00026451,ANCHORAGE INTL AP,4,6,40.5,25.5,33,6.2,6.7,6,PANC
USW00026451,ANCHORAGE INTL AP,4,7,40.9,25.9,33.4,6.2,6.6,5.9,PANC
USW00026451,ANCHORAGE INTL AP,4,8,41.3,26.3,33.8,6.1,6.4,5.8,PANC
USW00026451,ANCHORAGE INTL AP,4,9,41.7,26.6,34.2,6,6.3,5.7,PANC
USW00026451,ANCHORAGE INTL AP,4,10,42.1,27,34.6,6,6.2,5.5,PANC
USW00026451,ANCHORAGE INTL AP,4,11,42.5,27.4,35,5.9,6,5.4,PANC
USW00026451,ANCHORAGE INTL AP,4,12,43,27.8,35.4,5.8,5.9,5.3,PANC
USW00026451,ANCHORAGE INTL AP,4,13,43.4,28.2,35.8,5.8,5.8,5.2,PANC
USW00026451,ANCHORAGE INTL AP,4,14,43.8,28.5,36.2,5.8,5.6,5.1,PANC
USW00026451,ANCHORAGE INTL AP,4,15,44.2,28.9,36.6,5.7,5.5,5,PANC
USW00026451,ANCHORAGE INTL AP,4,16,44.7,29.3,37,5.7,5.4,4.9,PANC
USW00026451,ANCHORAGE INTL AP,4,17,45.1,29.7,37.4,5.7,5.3,4.8,PANC
USW00026451,ANCHORAGE INTL AP,4,18,45.5,30.1,37.8,5.6,5.2,4.7,PANC
USW00026451,ANCHORAGE INTL AP,4,19,45.9,30.4,38.2,5.6,5.1,4.7,PANC
USW00026451,ANCHORAGE INTL AP,4,20,46.4,30.8,38.6,5.6,4.9,4.6,PANC
USW00026451,ANCHORAGE INTL AP,4,21,46.8,31.2,39,5.5,4.8,4.5,PANC
USW00026451,ANCHORAGE INTL AP,4,22,47.2,31.6,39.4,5.5,4.7,4.4,PANC
USW00026451,ANCHORAGE INTL AP,4,23,47.7,31.9,39.8,5.5,4.6,4.3,PANC
USW00026451,ANCHORAGE INTL AP,4,24,48.1,32.3,40.2,5.4,4.5,4.3,PANC
USW00026451,ANCHORAGE INTL AP,4,25,48.5,32.7,40.6,5.4,4.5,4.2,PANC
USW00026451,ANCHORAGE INTL AP,4,26,48.9,33,41,5.4,4.4,4.1,PANC
USW00026451,ANCHORAGE INTL AP,4,27,49.3,33.4,41.4,5.4,4.3,4.1,PANC
USW00026451,ANCHORAGE INTL AP,4,28,49.8,33.8,41.8,5.4,4.3,4,PANC
USW00026451,ANCHORAGE INTL AP,4,29,50.2,34.1,42.1,5.4,4.2,4,PANC
USW00026451,ANCHORAGE INTL AP,4,30,50.6,34.5,42.5,5.4,4.2,3.9,PANC
USW00026451,ANCHORAGE INTL AP,5,1,51,34.8,42.9,5.4,4.2,3.9,PANC
USW00026451,ANCHORAGE INTL AP,5,2,51.4,35.2,43.3,5.4,4.1,3.9,PANC
USW00026451,ANCHORAGE INTL AP,5,3,51.8,35.5,43.6,5.4,4.1,3.8,PANC
USW00026451,ANCHORAGE INTL AP,5,4,52.1,35.8,44,5.4,4.1,3.8,PANC
USW00026451,ANCHORAGE INTL AP,5,5,52.5,36.2,44.3,5.4,4.1,3.8,PANC
