Date,USW,Name,Label1,Average,Label2,Normal,Label3,Depart SD,Weight
2019-06-01,USW00026451,Anchorage Intl Ap,Ave,53.5,Norm,52.3,Depart SD,0.316,Weight,0.808
2019-06-02,USW00026451,Anchorage Intl Ap,Ave,54.0,Norm,52.6,Depart SD,0.368,Weight,0.808
2019-06-03,USW00026451,Anchorage Intl Ap,Ave,56.5,Norm,52.8,Depart SD,0.974,Weight,0.808
2019-06-04,USW00026451,Anchorage Intl Ap,Ave,57.5,Norm,53.0,Depart SD,1.184,Weight,0.808
2019-06-05,USW00026451,Anchorage Intl Ap,Ave,57.5,Norm,53.3,Depart SD,1.105,Weight,0.808
2019-06-06,USW00026451,Anchorage Intl Ap,Ave,59.5,Norm,53.5,Depart SD,1.579,Weight,0.808
2019-06-07,USW00026451,Anchorage Intl Ap,Ave,62.0,Norm,53.7,Depart SD,2.184,Weight,0.808
2019-06-08,USW00026451,Anchorage Intl Ap,Ave,59.0,Norm,53.9,Depart SD,1.342,Weight,0.808
2019-06-09,USW00026451,Anchorage Intl Ap,Ave,55.5,Norm,54.1,Depart SD,0.378,Weight,0.808
2019-06-10,USW00026451,Anchorage Intl Ap,Ave,60.0,Norm,54.3,Depart SD,1.541,Weight,0.808
2019-06-11,USW00026451,Anchorage Intl Ap,Ave,60.0,Norm,54.5,Depart SD,1.486,Weight,0.808
2019-06-12,USW00026451,Anchorage Intl Ap,Ave,62.0,Norm,54.7,Depart SD,1.973,Weight,0.808
2019-06-13,USW00026451,Anchorage Intl Ap,Ave,60.0,Norm,54.9,Depart SD,1.378,Weight,0.808
2019-06-14,USW00026451,Anchorage Intl Ap,Ave,60.5,Norm,55.1,Depart SD,1.459,Weight,0.808
2019-06-15,USW00026451,Anchorage Intl Ap,Ave,58.0,Norm,55.3,Depart SD,0.73,Weight,0.808
2019-06-16,USW00026451,Anchorage Intl Ap,Ave,58.0,Norm,55.5,Depart SD,0.676,Weight,0.808
2019-06-17,USW00026451,Anchorage Intl Ap,Ave,59.5,Norm,55.7,Depart SD,1.027,Weight,0.808
2019-06-18,USW00026451,Anchorage Intl Ap,Ave,57.0,Norm,55.8,Depart SD,0.333,Weight,0.808
2019-06-19,USW00026451,Anchorage Intl Ap,Ave,59.5,Norm,56.0,Depart SD,0.972,Weight,0.808
