Date,Ave SD,Num Stations,Daily Index,Daily Temp
2019-06-01,0.295,24,3.216,49.476
2019-06-02,0.343,25,3.706,49.189
2019-06-03,0.46,25,4.825,50.064
2019-06-04,0.387,25,4.14,49.944
2019-06-05,0.353,25,3.804,50.059
2019-06-06,0.513,25,5.292,50.993
2019-06-07,0.489,25,5.088,51.158
2019-06-08,0.43,25,4.546,51.513
2019-06-09,0.369,25,3.963,51.693
2019-06-10,0.413,25,4.389,52.207
2019-06-11,0.601,25,6.023,53.366
2019-06-12,0.53,24,5.441,51.034
2019-06-13,0.653,24,6.416,52.129
2019-06-14,0.814,24,7.478,55.501
2019-06-15,0.647,25,6.374,55.017
2019-06-16,0.583,25,5.882,55.041
2019-06-17,0.54,24,5.523,54.925
2019-06-18,0.524,24,5.387,55.315
2019-06-19,0.828,24,7.557,57.143
2019-06-20,1.029,24,8.523,58.461
2019-06-21,1.118,24,8.844,59.225
2019-06-22,0.935,24,8.118,58.106
2019-06-23,1.003,24,8.418,58.202
2019-06-24,0.628,24,6.229,56.464
2019-06-25,0.771,24,7.223,57.466
2019-06-26,1.177,24,9.022,59.65
2019-06-27,1.26,23,9.237,61.369
2019-06-28,1.575,24,9.733,61.96
2019-06-29,1.609,24,9.764,62.149
2019-06-30,1.034,24,8.542,59.65
2019-07-01,0.769,24,7.208,58.428
2019-07-02,0.87,25,7.79,59.113
2019-07-03,1.058,25,8.634,60.137
2019-07-04,1.503,25,9.655,62.113
2019-07-05,1.861,24,9.912,63.746
2019-07-06,1.98,23,9.947,62.22
2019-07-07,2.158,25,9.976,65.597
2019-07-08,2.171,25,9.977,65.892
2019-07-09,1.814,25,9.893,64.308
2019-07-10,1.397,25,9.507,62.281
2019-07-11,1.212,24,9.119,61.368
2019-07-12,0.814,24,7.481,59.496
2019-07-13,1.04,25,8.566,60.78
2019-07-14,0.988,25,8.353,60.595
2019-07-15,0.865,25,7.762,59.777
2019-07-16,0.777,25,7.256,59.578
2019-07-17,0.818,25,7.502,59.22
2019-07-18,0.934,25,8.113,59.768
2019-07-19,0.782,25,7.287,58.726
2019-07-20,0.43,25,4.546,57.14
2019-07-21,0.706,25,6.797,58.51
2019-07-22,1.262,25,9.243,61.249
2019-07-23,1.304,25,9.334,61.409
2019-07-24,0.877,25,7.825,59.187
2019-07-25,0.389,25,4.162,57.143
2019-07-26,0.037,24,0.413,55.143
2019-07-27,0.202,24,2.239,55.925
2019-07-28,0.176,24,1.954,55.749
2019-07-29,0.439,24,4.636,56.98
2019-07-30,0.573,24,5.801,57.341
2019-07-31,0.526,24,5.409,57.277
2019-08-01,0.519,24,5.345,56.746
2019-08-02,0.539,24,5.516,56.475
2019-08-03,0.773,24,7.231,57.597
2019-08-04,0.655,24,6.432,56.669
2019-08-05,0.712,24,6.833,56.759
2019-08-06,0.824,24,7.536,56.861
2019-08-07,1.006,24,8.432,57.377
2019-08-08,0.905,24,7.969,56.773
2019-08-09,0.823,24,7.531,56.373
2019-08-10,0.792,24,7.349,56.222
2019-08-11,0.805,24,7.424,56.352
2019-08-12,0.923,24,8.062,56.739
2019-08-13,1.245,24,9.202,58.259
2019-08-14,1.077,24,8.704,57.035
2019-08-15,0.897,24,7.928,55.833
2019-08-16,0.824,24,7.539,55.178
2019-08-17,0.468,24,4.901,53.152
2019-08-18,-0.026,24,-0.29,51.18
2019-08-19,-0.645,25,-6.358,48.445
2019-08-20,-0.501,25,-5.192,48.956
2019-08-21,-0.352,25,-3.795,49.417
2019-08-22,-0.101,25,-1.129,50.153
2019-08-23,0.059,25,0.664,50.729
2019-08-24,0.033,25,0.372,50.302
2019-08-25,-0.038,25,-0.432,49.826
2019-08-26,0.456,25,4.792,51.805
2019-08-27,0.304,25,3.314,50.837
2019-08-28,0.373,25,4.0,50.992
2019-08-29,0.331,25,3.583,50.637
2019-08-30,0.332,24,3.601,50.386
2019-08-31,0.639,24,6.311,51.304
2019-09-01,1.02,25,8.486,52.583
2019-09-02,1.315,25,9.357,54.111
2019-09-03,0.952,25,8.195,52.135
2019-09-04,0.835,24,7.601,51.468
2019-09-05,0.875,24,7.816,51.524
2019-09-06,1.087,25,8.737,52.288
2019-09-07,1.268,25,9.256,52.933
2019-09-08,1.711,25,9.839,54.537
2019-09-09,1.441,25,9.574,52.806
2019-09-10,1.063,25,8.652,50.651
2019-09-11,0.927,25,8.077,49.844
2019-09-12,1.25,25,9.213,51.061
2019-09-13,1.304,25,9.335,51.231
2019-09-14,0.994,25,8.38,48.993
2019-09-15,0.851,25,7.687,48.031
2019-09-16,0.885,25,7.867,47.348
2019-09-17,0.368,24,3.951,44.3
2019-09-18,0.507,24,5.24,44.762
2019-09-19,0.514,25,5.303,44.302
2019-09-20,0.403,25,4.295,43.311
2019-09-21,0.224,25,2.471,42.171
2019-09-22,0.23,25,2.54,41.655
2019-09-23,0.313,25,3.408,41.766
2019-09-24,0.082,25,0.92,39.995
2019-09-25,0.112,25,1.247,39.877
2019-09-26,-0.019,25,-0.219,38.619
2019-09-27,0.243,24,2.679,39.592
2019-09-28,0.795,23,7.365,42.676
2019-09-29,1.09,23,8.75,44.357
2019-09-30,1.198,23,9.081,44.469
2019-10-01,0.999,23,8.403,42.541
2019-10-02,0.641,24,6.33,39.754
2019-10-03,0.672,25,6.555,39.43
2019-10-04,0.682,24,6.627,39.063
2019-10-05,0.469,25,4.905,36.958
2019-10-06,0.229,25,2.526,35.025
2019-10-07,-0.031,25,-0.351,32.83
2019-10-08,0.424,25,4.489,35.363
2019-10-09,0.92,24,8.047,38.448
2019-10-10,0.867,24,7.777,37.591
2019-10-11,0.743,24,7.039,35.856
2019-10-12,0.287,24,3.135,32.184
2019-10-13,-0.06,24,-0.675,29.066
2019-10-14,-0.011,24,-0.123,28.833
2019-10-15,0.022,25,0.242,27.855
2019-10-16,0.243,25,2.672,29.131
2019-10-17,0.416,25,4.419,30.046
2019-10-18,0.521,24,5.366,30.576
2019-10-19,0.593,24,5.955,30.696
2019-10-20,0.585,24,5.899,30.162
2019-10-21,0.648,25,6.382,30.12
2019-10-22,0.663,25,6.491,29.524
2019-10-23,1.075,25,8.696,32.212
2019-10-24,0.837,25,7.608,29.882
2019-10-25,0.633,25,6.267,27.445
2019-10-26,1.022,25,8.496,30.318
2019-10-27,1.683,25,9.821,36.528
2019-10-28,2.071,25,9.964,40.171
2019-10-29,1.751,25,9.862,36.876
2019-10-30,1.539,25,9.696,34.086
2019-10-31,1.29,24,9.305,30.856
2019-11-01,1.25,25,9.215,29.611
2019-11-02,0.999,24,8.401,26.167
2019-11-03,0.743,24,7.042,23.039
2019-11-04,0.468,24,4.897,19.737
2019-11-05,0.676,16,6.581,22.191
2019-11-06,1.215,24,9.126,27.639
2019-11-07,1.378,25,9.475,28.575
2019-11-08,1.035,25,8.546,24.207
2019-11-09,0.669,25,6.533,19.865
2019-11-10,0.909,25,7.991,22.649
2019-11-11,1.054,25,8.617,24.348
2019-11-12,0.945,25,8.165,22.264
2019-11-13,0.773,24,7.23,20.079
2019-11-14,0.681,24,6.619,18.954
2019-11-15,0.55,25,5.607,16.73
2019-11-16,0.353,25,3.804,14.077
2019-11-17,0.145,25,1.619,11.294
2019-11-18,-0.114,17,-1.279,8.032
2019-11-19,0.573,25,5.798,15.935
2019-11-20,1.014,21,8.463,21.927
2019-11-21,1.29,21,9.304,25.573
2019-11-22,1.344,21,9.415,26.051
2019-11-23,1.061,22,8.645,22.298
2019-11-24,0.477,20,4.978,15.885
2019-11-25,0.22,24,2.433,12.482
2019-11-26,0.583,24,5.879,16.394
2019-11-27,1.209,24,9.112,24.568
2019-11-28,1.249,24,9.212,25.002
2019-11-29,1.082,24,8.721,22.628
2019-11-30,1.013,22,8.458,21.883
2019-12-01,0.919,22,8.04,18.919
2019-12-02,0.594,22,5.966,14.822
2019-12-03,0.154,23,1.716,9.058
2019-12-04,-0.148,24,-1.647,4.816
2019-12-05,-0.419,24,-4.445,0.889
2019-12-06,-0.132,23,-1.476,4.494
2019-12-07,0.612,24,6.107,15.105
2019-12-08,1.01,24,8.448,20.591
2019-12-09,1.402,23,9.514,25.782
2019-12-10,1.337,23,9.401,25.324
2019-12-11,1.197,24,9.08,22.16
2019-12-12,1.047,23,8.592,19.324
2019-12-13,0.81,24,7.458,16.788
2019-12-14,0.84,24,7.625,17.015
2019-12-15,0.821,24,7.519,16.558
2019-12-16,0.615,23,6.128,12.885
2019-12-17,0.463,23,4.851,10.568
2019-12-18,0.176,24,1.956,6.704
2019-12-19,-0.408,25,-4.34,-2.023
2019-12-20,-0.65,25,-6.397,-5.77
2019-12-21,-0.706,24,-6.793,-5.958
2019-12-22,-0.496,24,-5.145,-3.084
2019-12-23,-0.324,25,-3.52,-1.13
2019-12-24,-0.556,24,-5.661,-3.562
2019-12-25,-0.573,24,-5.798,-4.308
2019-12-26,-0.813,25,-7.471,-9.336
2019-12-27,-1.184,25,-9.044,-15.074
2019-12-28,-0.934,25,-8.113,-11.626
2019-12-29,-0.344,25,-3.714,-2.858
2019-12-30,0.203,25,2.251,5.589
2019-12-31,0.343,22,3.706,7.44
2020-01-01,0.078,23,0.879,3.54
2020-01-02,-0.513,25,-5.296,-4.521
2020-01-03,-0.786,25,-7.313,-9.303
2020-01-04,-1.091,25,-8.751,-14.293
2020-01-05,-1.267,25,-9.253,-17.361
2020-01-06,-1.307,25,-9.34,-18.268
2020-01-07,-1.214,25,-9.123,-17.923
2020-01-08,-1.356,24,-9.436,-20.749
2020-01-09,-1.242,24,-9.194,-18.732
2020-01-10,-0.98,25,-8.321,-14.419
2020-01-11,-0.714,25,-6.85,-9.758
2020-01-12,-0.418,25,-4.44,-4.736
2020-01-13,0.085,25,0.947,3.088
2020-01-14,0.151,25,1.687,4.393
2020-01-15,-0.236,25,-2.604,-2.071
2020-01-16,-0.272,25,-2.978,-3.783
2020-01-17,-0.418,25,-4.431,-5.928
2020-01-18,-0.387,25,-4.134,-5.57
2020-01-19,-0.363,25,-3.904,-5.652
2020-01-20,-0.224,25,-2.469,-3.097
2020-01-21,-0.112,25,-1.25,-0.904
2020-01-22,-0.113,25,-1.268,-0.857
2020-01-23,-0.282,25,-3.087,-3.236
2020-01-24,-0.404,25,-4.306,-5.067
2020-01-25,-0.724,25,-6.915,-10.58
